TimePeriod,Indicator,Subgroup,DataValue
2018-19,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.25
2018-19,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste generated,189.47
2018-19,"12.4.2: (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment",Hazardous waste treated,0.56
2018-19,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.13
2018-19,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,64.39
2018-19,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
2018-19,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Boats,560.0
2018-19,14.b.1: Assistance to the traditional / artisanal fishers for procurement of FRP boats and other associated fishing implements,Project cost,1930.0
2018-19,15.4.2: Percentage change in per capita income of Himalayan States over previous year,Total,9.97
2018-19,15.b.1: Percentage of government spending on environmental protection to total government expenditure,Total,0.09
2018-19,16.10.1: Percentage of RTI queries responded (similar to Indicator 16.6.2),Total,80.98
2018-19,16.6.1: Primary government expenditures as a proportion of original approved budget,Total,94.8
2018-19,16.6.2: Percentage of RTI queries responded (similar to 16.10.1),Total,80.98
2018-19,16.6.3: Number of Government services provided online to citizens.,Online Services,2925.0
2018-19,16.9.2: Proportion of population covered under Aadhaar,Total,88.8
2018-19,"17.1.1: Total government revenue as a proportion of GDP, by source",Total,8.22
2018-19,17.1.2: Proportion of domestic budget funded by domestic taxes,Total,75.42
2018-19,17.19.1: Budget allocated to different Ministries for strengthening statistics,Total,400188.0
2018-19,17.4.1: Debt service as a proportion of exports of goods and services.,Total,7.5
2018-19,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.387
2018-19,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.245
2018-19,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,97.62
2018-19,2.3.1: Agriculture productivity of wheat and rice,Rice,2638.0
2018-19,2.3.1: Agriculture productivity of wheat and rice,Wheat,3533.0
2018-19,2.3.2: Gross Value Added in Agriculture per worker,Total,71727.0
2018-19,2.4.3: Percentage of net area under organic farming,Total,1.5892
2018-19,2.5.3: Conservation of fish genetic resource (in number),Total,1725.0
2018-19,2.a.1: The agriculture orientation index for government expenditures,Total,0.461
2018-19,2.a.2: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to GVA in agriculture,Total,0.041
2018-19,"3.3.1: Number of new HIV infections per 1,000 uninfected population",Total,0.06
2018-19,3.5.2: Number of persons treated in de-addiction centers,Total,77479.0
2018-19,3.8.3: Percentage of people living with HIV currently receiving ART among the detected number of adults and children living with HIV,Total,82.0
2018-19,3.b.2: Budgetary allocation for Department of Health Research,Total,1800.0
2018-19,3.c.2: Percentage of government spending (including current and capital expenditure) in health sector to GDP,Total,1.25
2018-19,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 10,77.58
2018-19,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 5,96.53
2018-19,"4.1.2: Gross Intake Ratio to the last grade (primary, upper primary and secondary)",Grade 8,97.18
2018-19,4.1.3: Gross Enrolment Rate(GER) in higher secondary education,Total,50.14
2018-19,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Primary,89.14
2018-19,4.1.4: Net Enrolment Rate(NER) in primary and upper primary education,Upper Primary,68.99
2018-19,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Primary,93.6
2018-19,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Secondary,55.64
2018-19,"4.1.5: Adjusted Net Enrolment Rate(ANER) in primary, upper primary and secondary education",Upper Primary,76.97
2018-19,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Primary (I-V),86.78
2018-19,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Secondary (IX-X),59.9
2018-19,4.1.6: Proportion of students enrolled in Grade 1 who reaches last grade or primary/upper primary/secondary levels,Total- Upper Primary (VI-VIII) ,71.58
2018-19,4.2.1: Gross early childhood education enrolment ratio,Total,51.3
2018-19,4.2.2: Participation rate in organized learning one year before official primary entry,Total,41.34
2018-19,4.3.3: Gross enrolment ratio for tertiary education,Tertiary Education,26.3
2018-19,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Higher Secondary,1.02
2018-19,4.5.1: Gender Parity Indices (GPI) for primary/secondary/higher secondary/tertiary education,Tertiary Education,1.0
2018-19,4.5.2: Enrolment ratio of children with disabilities,Elementary,0.97
2018-19,4.5.2: Enrolment ratio of children with disabilities,Higher Secondary,0.31
2018-19,4.5.2: Enrolment ratio of children with disabilities,Primary,0.95
2018-19,4.5.2: Enrolment ratio of children with disabilities,Secondary,0.65
2018-19,4.5.2: Enrolment ratio of children with disabilities,Upper Primary,1.01
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly  Toilets,17.54
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Adapted infrastructure and materials for students with disabilities/disabled friendly Ramp ,63.71
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic drinking water,95.68
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Basic hand washing facilities (as per the WASH indicator definitions),88.18
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Computers for pedagogical purposes,32.66
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Electricity,73.86
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Boys),92.63
2018-19,4.a.1: Proportion of schools with access to: (a) electricity; (b) computers for pedagogical purposes; (c) adapted infrastructure and materials for students with disabilities/ disabled friendly ramp and toilets; (d) basic drinking water; (e) single-sex basic sanitation facilities; and (f) basic hand washing facilities (as per the WASH indicator definitions),Single-sex basic sanitation facilities (Girls),94.38
2018-19,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Primary,71.68
2018-19,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Secondary,82.62
2018-19,"4.c.1: Proportion of trained teacher, by education level (primary, upper primary, elementary, secondary and higher secondary education), (in percentage)",Upper Primary,72.27
2018-19,"5.5.2: Proportion of women in managerial positions including women in Board of Director, in listed companies, (per 1,000 persons)",Total,190.0
2018-19,"5.a.5: Exclusive women SHGs in Bank linked SHGs, (in percentage)",Total,87.66
2018-19,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2018-19,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
2018-19,6.1.1: Percentage of Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Rural,40.58
2018-19,6.1.2: Percentage of population using an improved drinking water source (Rural),Rural,95.98
2018-19,6.2.1: Proportion of households having access to toilet facility (Urban and Rural),Rural,99.03
2018-19,6.2.2: Percentage of Districts achieving Open Defecation Free (ODF) target,Total,88.13
2018-19,"6.2.3: Proportion of schools with separate toilet facility for girls,(in percentage)",Total,94.38
2018-19,7.1.2: Percentage of households using clean cooking fuel,Total,97.95
2018-19,"7.3.1: Energy intensity measured in terms of primary energy and GDP, (in mega joules per rupee)",Total,0.1719
2018-19,8.1.1: Annual growth rate of GDP (adjusted to price changes) per capita,Total,5.5
2018-19,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",ATMs,16.7
2018-19,"8.10.1 (a): Number of banking outlets per 1,00,000 population, (b) Automated Teller Machines (ATMs) per 1,00,000 population",Banking Outlets,85.4
2018-19,"8.10.2: Number of accounts (include deposit and credit accounts) of scheduled commercial banks per 1,000 population",Total,1660.0
2018-19,8.2.1: Annual growth rate of real GDP per employed person,Total,3.35
2018-19,"8.2.2: Total number of patents issued (granted), (similar to Indicator 8.3.2 and 9.5.3) )",Total,15283.0
2018-19,8.2.3: Annual growth in manufacturing sector,Manufacturing,5.3
2018-19,8.2.4: Annual growth in agriculture sector,"Agriculture, forestry and fishing",2.6
2018-19,8.3.1: Percentage of workers in informal sector among total workers engaged in non - agriculture sector,Total Person,68.4
2018-19,"8.3.2: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 9.5.3) )",Total,15283.0
2018-19,8.3.3: Outstanding Credit to MSME,Total,1510650.54
2018-19,8.3.4: Number of MSME units registered under the online Udyog Aadhaar registration,Total,2123262.0
2018-19,8.4.1: Proportion of waste recycled vs. waste generated,Total,0.56
2018-19,"8.4.2: Per capita fossil fuel consumption, (in Kg.)",Total,157.3
2018-19,"8.5.1: Average hourly earnings of employees, by sex, age, occupation",Total Person,53.0
2018-19,8.5.2: Unemployment rate,Total Person,5.8
2018-19,8.8.3: Percentage of households receiving social protection benefits under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,39.46
2018-19,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Growth Rate,10.12
2018-19,8.9.1: Direct contribution of Tourism to total GDP and in growth rate (in percentage),Total share in GDP (in %),2.6
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Cargo,0.76
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Airline Domestic - Passengers,140.33
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Cargo,0.38
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Airline International - Passengers,25.9
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Freight,738923.0
2018-19,"9.1.2: Passenger and freight volumes, by mode of transport",Railways Passengers,8439.0
2018-19,9.1.3: Gross Capital Formation by industry of use,Constant Prices,4748844.0
2018-19,9.1.3: Gross Capital Formation by industry of use,Current Prices,5830943.0
2018-19,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At constant price,16.61
2018-19,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,At current price,14.85
2018-19,9.2.1: Manufacturing Value Added (MVA) as a proportion of Gross Domestic Product (GDP) and per capita,Per capita,1752.88
2018-19,9.2.2: Manufacturing employment as a proportion of total employment,Total Person,12.07
2018-19,9.2.3: Percentage Share of GVA in Manufacturing to Total GVA,GVA,16.3
2018-19,"9.3.1: Share of household sector in total industry value added, (in percentage)",Total,43.95
2018-19,"9.3.2: Percentage of credit flow MSME (as a percentage of Total Adjusted Net Bank Credit), (in percentage)",Total,17.32
2018-19,9.4.1: Total CO2 emissions of power sector per unit of GDP(in Tonne/Rupees Crore),Total,50.65
2018-19,"9.4.2: Energy use intensity of manufacturing value added, (Tonne of Oil Equivalent /000� rupees)",Total,0.0086
2018-19,9.5.1: Research and development expenditure as a proportion of GDP,Total,3.37
2018-19,"9.5.3: Total number of patents issued (granted), (similar to Indicator 8.2.2 and 8.3.2) )",Total,15283.0
2018-19,"9.b.1: Share of IPP in total Gross Fixed Capital Formation, (in percentage)",Total,11.53
2018-19,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Constant Prices,5.02
2018-19,"9.b.2: Share of GVA of Information and Computer related activities in total GVA, (in percentage)",Current Prices,4.49
2018-19,9.c.1: Number of Internet Subscription as percentage of total population,Total,48.48
2018-19,"9.c.2: No. of Broadband Subscribers per 10,000 persons",Total,4289.0
2018-19 ,17.3.1: Foreign Direct Investment as proportion of Gross National Income.,Total,1.62
2018-19 ,17.3.2: Volume of remittances as a proportion of total GDP,Total,2.66
2018-19 ,7.2.1: Renewable energy share in the total installed electricity generation,Total,19.2
2019,"1.5.3: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 11.b.1 and 13.1.2",Total,1.0
2019,1.5.4: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with na-tional disaster risk reduction strategies (similar to 11.b.2 and 13.1.3),Total,0.931
2019,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",Lok Sabha,14.36
2019,"10.2.2: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 16.7.1)",PRI,44.37
2019,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),SCs,15.5
2019,10.2.3: Proportion of SC/ST persons in Elected bodies (similar to 16.7.2),STs,8.67
2019,10.7.1: Recruitment cost borne by employee as a proportion of monthly income earned in country of destination,Total,2.14
2019,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Death Rate,11.42
2019,11.2.2: People killed/injured in road accidents (similar to 3.6.1 ),Injury Rate,33.38
2019,11.3.1: Proportion of Cities with Master Plan (similar to 11.a.1),Total,34.93
2019,11.6.1: Percentage of Waste processed,Total,53.0
2019,11.6.4: Percentage of wards with 100% door to door waste collection,Total,74.0
2019,11.a.1: Proportion of Cities with Master Plan (similar to 11.3.1),Total,34.93
2019,"11.b.1: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sen-dai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 13.1.2)",Total,1.0
2019,11.b.2: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to  1.5.4 and 13.1.3),Total,0.931
2019,12.3.1: Per capita food availability,Food Grains,179.6
2019,12.5.2: Number of Urban Local Bodies using waste segregation techniques,Total,63.0
2019,12.a.1: Installed renewable energy generating capacity in the country (similar to 7.b.1 ),Total,93.3
2019,"13.1.2: Whether the country has adopted and implemented national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030, (similar to Indicator 1.5.3  and 11.b.1)",Total,1.0
2019,13.1.3: Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (similar to 11.b.2 and 1.5.4),Total,0.931
2019,15.1.1: Forest cover as a percentage of total geographical area,Total,21.67
2019,15.1.2: Protected area as percentage of total geographical area,Total,5.23
2019,15.1.3: Area of Ramsar sites as a percentage to the total wetland area,Total,7.0
2019,15.2.3: Tree cover as percentage of total geographical area,Total,2.89
2019,"15.7.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.c.1)",Total,296.0
2019,"15.c.1: Number of cases registered under the Wildlife Protection Act, 1972 (similar to 15.7.1)",Total,296.0
2019,"16.1.1: Number of victims of intentional homicide per 1,00,000 population.",Total,2.24
2019,"16.1.2: Per 1,00,000 Population subjected to physical, psychological or sexual violence in the previous 12 months",Total,95.84
2019,"16.2.1: Proportion of Crime Committed against Children during the year, (rate per 1,00,000 children)",Total,35.15
2019,"16.2.2: Number of victims rescued from human trafficking per 1,00,000 population, by sex, age and form of exploitation",Total,0.49
2019,16.2.3: Number of Missing Children (similar to Indicator 8.7.2 ),Total,73138.0
2019,16.3.1: Number of courts per lakh population,Courts,1.82
2019,16.3.2: Unsentenced detainees as a proportion of overall prison population,Undertrials,69.1
2019,16.3.3: Number of Judges (all levels) per lakh population,Judges,1.38
2019,16.4.1: Number of cases under the Arms Act,Arms Cases,73122.0
2019,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Percentage Recovery of Stolen Property,30.8
2019,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Recovered,1451.6
2019,16.4.2: Value of Property Stolen and Recovered and Percentage Recovery,Properties Stolen,4719.2
2019,"16.5.1: Cases reported under Prevention of Corruption Act and related section of IPC per 1,00,000 population",Total,0.32
2019,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",Lok Sabha,14.36
2019,"16.7.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 5.5.1 and 10.2.2)",PRI,44.37
2019,"16.7.2:  Proportion of SC/ST persons in the elected bodies (Lok Sabha) (similar to 
10.2.3)",SCs,15.5
2019,"16.7.2:  Proportion of SC/ST persons in the elected bodies (Lok Sabha) (similar to 
10.2.3)",STs,8.67
2019,17.11.1: Share of India�s exports in Global exports,Commercial Services Exports,3.52
2019,17.11.1: Share of India�s exports in Global exports,Merchandise Exports,1.71
2019,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Animal,20100.0
2019,2.5.1: Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,Plant,459703.0
2019,"3.3.2: Tuberculosis incidence per 1,00,000 population",Total,193.0
2019,"3.3.3: Malaria incidence per 1,000 population",Total,0.25
2019,3.3.5: Dengue: Case Fatality Ratio (CFR),Total,0.11
2019,"3.3.7: Percentage of blocks reporting < 1 Kala Azar case per 10,000 population out of the total endemic blocks",Total,94.15
2019,3.3.8: Percentage of districts reporting < 1% Microfilaria rate (MF) out of Targeted Endemic districts,Total,38.13
2019,"3.4.2. Suicide mortality rate (per 1,00,000 population)",Total,10.4
2019,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Death Rate,11.42
2019,3.6.1: People killed/injured in road accidents (similar to 11.2.2),Injury Rate,33.38
2019,3.8.7: Percentage of TB cases successfully treated (cured plus treatment completed) among TB cases notified to the national health authorities during a specified period,Total,81.0
2019,3.9.3: Mortality rate attributed to unintentional poisoning,Total,1.58
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C1 Legislation and Financing,80.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C10 Risk Communication,80.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C11 Points of Entry,80.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C12 Chemical Events,80.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C13 Radiation Emergencies,100.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C2 IHR Coordination and National IHR Focal Point Functions,90.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C3 Zoonotic Events and the Human�animal Interface,60.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C4 Food Safety,60.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C5 Laboratory,67.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C6 Surveillance,100.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C7 Human Resources,100.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C8 National Health Emergency Framework,80.0
2019,3.d.1: International Health Regulations (IHR) capacity and health emergency preparedness,C9 Health Service Provision,33.0
2019,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Employment and economic benefits,100.0
2019,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Marriage and family,100.0
2019,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Overarching legal frameworks and public life,76.9
2019,"5.1.1: Whether or not legal framework are in place to promote, enforce and monitor equality and nondiscrimination on the basis of sex.",Violence against women,92.3
2019,5.1.2: Per lakh women that have been subjected to dowry offences during the year,Total,3.2
2019,"5.1.4: Rate of Crimes Against Women Per 1,00,000 Female Population",Female,62.39
2019,5.2.1: Proportion of crime against women to total crime reported in the country during the calendar year,Total,7.87
2019,5.2.2: Per lakh women who have experienced sexual crimes during the calendar year,Total,28.1
2019,5.2.3: Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,Total,19.54
2019,5.2.4: Proportion of sexual crime against girl children to total crime against children during the calendar year,Total,46.68
2019,5.2.5: Proportion of trafficking of girl children to total children trafficked during the calendar year,Total,40.22
2019,"5.3.2: Proportion of cases reported under the Prohibition of Child Marriage Act (early marriage of children below 18 years of age) to total crime against children, (in percentage)",Total,0.35
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Rural Female,19.72
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Rural Male,2.64
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Toal Female,19.44
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Total Male,2.5
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Urban Female,18.61
2019,5.4.1: Proportion of time spent on unpaid domestic and care work,Urban Male,2.15
2019,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",Lok Sabha,14.36
2019,"5.5.1: Proportion of seats held by women in national Parliament, State legislation and Local Self Government (similar to Indicator 10.2.2 and 16.7.1)",PRI,44.37
2019,5.5.3: Number of women candidates out of total candidates contesting elections(in percentage),Total,9.01
2019,"5.b.1: Percentage of women employed in IT and ITeS industry, (in percentage)",Total,35.0
2019,6.3.2: Proportion of water bodies with good ambient water quality,Total,90.0
2019,7.b.1: Installed renewable energy generating capacity in the country(in watts per capita) (similar to 12.a.1),Total,93.3
2019,8.3.5: Number of start-ups recognized under Start-up India,Total,11627.0
2019,"8.7.1: Human trafficking cases per 10,00,000 population.",Total,1.69
2019,8.7.2: Number of Missing Children (similar to Indicator 16.2.3),Total,73138.0
2019,8.9.2: Percentage change in number of visits by tourists (domestic and foreign) over previous years,Total,25.0
2019-20,1.3.2: Number of beneficiaries under Integrated Child Development Scheme - ICDS,Total Beneficiaries (Children 6 month-6 years plus P&LM),85505148.0
2019-20,1.3.3: Persons provided employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total,84.4
2019-20,1.3.4: Number of Self Help Groups (SHGs) provided bank credit linkage,Total SHGs,31.46
2019-20,1.3.5: Proportion of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matritva Vandana Yojana (PMMVY),Total,91.38
2019-20,1.3.6: Number of senior citizens provided institutional assistance through Senior Citizen Homes/Day Care Centers funded by the Government,Total,41655.0
2019-20,1.3.8: Coverage of New Pension Scheme (NPS),Total,13412639.0
2019-20,1.4.2: Number of telephone subscriptions as percentage of total population,Total,88.74
2019-20,"1.a.2: Proportion of total government spending on essential services (education, health and social protection)",Essential Services,30.31
2019-20,1.b.1: Proportion of budget earmarked under gender budget,Total,4.91
2019-20,10.4.1: Labour Share of GDP,Total,31.76
2019-20,10.4.2: Percentage of budget allocated to North Eastern States,Total,1.99
2019-20,10.4.3: Percentage of budget allocated for welfare of Scheduled Caste and Scheduled Caste,Total,4.18
2019-20,"11.4.1: Total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage",Total,3.03
2019-20,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Storage Loss,-0.14
2019-20,12.3.2: Post harvest storage and distribution losses of Central/States Pool stocks of wheat and rice,Transit Loss,0.23
2019-20,12.c.1: Amount of fossil fuel subsidy per unit of GDP,Total,0.19
2019-20,"14.1.2: Percentage use of nitrogenous fertilizers to total fertilizers (N, P & K)",Total,65.04
2019-20,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Greater Than 8 pH,12.0
2019-20,14.3.1: Average marine acidity (pH) measured at agreed site of representative sampling stations,Less Than 8 pH,4.0
2019-20,14.4.1: Maximum Sustainable Yield (MSY) in fishing,Total,5.311
2019-20,"14.a.1: Allocation of budget resources (Budget Estimates) for Ocean Services, Modeling, Applications, Resources and Technology (OSMART) scheme",Total,445.0
2019-20,15.b.1: Percentage of government spending on environmental protection to total government expenditure,Total,0.08
2019-20,16.6.1: Primary government expenditures as a proportion of original approved budget,Total,96.41
2019-20,16.6.3: Number of Government services provided online to citizens.,Online Services,3868.0
2019-20,16.9.2: Proportion of population covered under Aadhaar,Total,88.6
2019-20,17.16.1: Number of States having a State Monitoring Framework that supports the achievement of the sustainable development goals,Total,12.0
2019-20,17.19.1: Budget allocated to different Ministries for strengthening statistics,Total,536367.0
2019-20,17.3.1: Foreign Direct Investment as proportion of Gross National Income.,Total,1.97
2019-20,17.3.2: Volume of remittances as a proportion of total GDP,Total,2.74
2019-20,17.4.1: Debt service as a proportion of exports of goods and services.,Total,7.8
2019-20,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Broadband ( >= 512 Kbps),1.429
2019-20,"17.6.1: Fixed internet broadband subscriptions per 100 inhabitants, by speed.",Narrowband ( < 512 Kbps),0.241
2019-20,2.1.2: Proportion of beneficiaries covered under National Food Security Act 2013,Total,99.51
2019-20,2.3.1: Agriculture productivity of wheat and rice,Rice,2722.0
2019-20,2.3.1: Agriculture productivity of wheat and rice,Wheat,3440.0
2019-20,2.3.2: Gross Value Added in Agriculture per worker,Total,74822.0
2019-20,2.4.3: Percentage of net area under organic farming,Total,2.022
2019-20,2.5.3: Conservation of fish genetic resource (in number),Total,1986.0
2019-20,2.a.1: The agriculture orientation index for government expenditures,Total,0.506
2019-20,2.a.2: Percentage share of expenditure in Intellectual Property Product (R&D) in agriculture to GVA in agriculture,Total,0.034
2019-20,"3.3.1: Number of new HIV infections per 1,000 uninfected population",Total,0.05
2019-20,"3.3.6: The proportion of grade-2 cases amongst new cases of Leprosy, (in Rate per million population)",Total,1.96
2019-20,3.5.2: Number of persons treated in de-addiction centers,Total,93364.0
2019-20,3.8.3: Percentage of people living with HIV currently receiving ART among the detected number of adults and children living with HIV,Total,84.0
2019-20,3.b.2: Budgetary allocation for Department of Health Research,Total,1900.0
2019-20,3.c.2: Percentage of government spending (including current and capital expenditure) in health sector to GDP,Total,1.34
2019-20,4.2.1: Gross early childhood education enrolment ratio,Total,49.8
2019-20,4.2.2: Participation rate in organized learning one year before official primary entry,Total,51.03
2019-20,4.3.3: Gross enrolment ratio for tertiary education,Tertiary Education,27.08
2019-20,"5.a.5: Exclusive women SHGs in Bank linked SHGs, (in percentage)",Total,91.67
2019-20,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),Central Ministries,57.0
2019-20,5.c.1: Number of Central Ministries and States having Gender Budget Cells (GBCs),States/UT,23.0
2019-20,6.1.1: Percentage of Population getting safe and adequate drinking water within premises through Pipe Water Supply (PWS),Rural,50.66
